INFO 2025-06-23 16:35:05,951 basehttp 63738 139953648428608 "GET /api/equipos/ HTTP/1.1" 200 1372
INFO 2025-06-23 16:35:05,964 basehttp 63738 139953656821312 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:35:05,967 basehttp 63738 139953877149248 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 315
INFO 2025-06-23 16:35:05,969 basehttp 63738 139953885541952 "GET /api/users/ HTTP/1.1" 200 154
INFO 2025-06-23 16:35:14,097 basehttp 63738 139953885541952 "GET /api/equipos/ HTTP/1.1" 200 1372
INFO 2025-06-23 16:35:14,107 basehttp 63738 139953648428608 "GET /api/equipos/ HTTP/1.1" 200 1372
INFO 2025-06-23 16:35:31,881 basehttp 63738 139953648428608 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:35:31,887 basehttp 63738 139953648428608 "GET /api/faenas/ HTTP/1.1" 200 442
INFO 2025-06-23 16:35:31,892 basehttp 63738 139953885541952 "GET /api/estados-equipo/ HTTP/1.1" 200 312
INFO 2025-06-23 16:35:31,895 basehttp 63738 139953877149248 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:35:31,899 basehttp 63738 139953868756544 "GET /api/users/ HTTP/1.1" 200 154
INFO 2025-06-23 16:35:31,923 basehttp 63738 139953868756544 "GET /api/estados-equipo/ HTTP/1.1" 200 312
INFO 2025-06-23 16:35:31,928 basehttp 63738 139953877149248 "GET /api/users/ HTTP/1.1" 200 154
INFO 2025-06-23 16:35:31,932 basehttp 63738 139953885541952 "GET /api/faenas/ HTTP/1.1" 200 442
INFO 2025-06-23 16:35:31,965 basehttp 63738 139953885541952 "GET /api/equipos/ HTTP/1.1" 200 1372
INFO 2025-06-23 16:35:32,017 basehttp 63738 139953877149248 "GET /api/equipos/ HTTP/1.1" 200 1372
INFO 2025-06-23 16:37:35,013 autoreload 63738 139953937179264 /home/ubuntu/cmms_somacor/somacor_cmms/backend/cmms_api/models.py changed, reloading.
INFO 2025-06-23 16:37:35,414 autoreload 63961 140293196137088 Watching for file changes with StatReloader
INFO 2025-06-23 16:40:00,631 basehttp 63961 140293144507968 "GET /api/mantenimiento-workflow/dashboard/ HTTP/1.1" 200 626
INFO 2025-06-23 16:40:00,634 basehttp 63961 140293136115264 "GET /api/mantenimiento-workflow/equipos-criticos/ HTTP/1.1" 200 91
INFO 2025-06-23 16:40:21,190 basehttp 63961 140293136115264 "OPTIONS /api/ordenes-trabajo/?fechaInicio=&fechaFin= HTTP/1.1" 200 0
INFO 2025-06-23 16:40:21,214 basehttp 63961 140293144507968 "GET /api/ordenes-trabajo/?fechaInicio=&fechaFin= HTTP/1.1" 200 52
INFO 2025-06-23 16:40:21,218 basehttp 63961 140293118281280 "OPTIONS /api/tipos-equipo/ HTTP/1.1" 200 0
INFO 2025-06-23 16:40:21,225 basehttp 63961 140293126673984 "GET /api/users/ HTTP/1.1" 200 154
INFO 2025-06-23 16:40:21,230 basehttp 63961 140293136115264 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:40:21,232 basehttp 63961 140293109888576 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 315
INFO 2025-06-23 16:40:21,237 basehttp 63961 140293118281280 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:40:31,220 basehttp 63961 140293118281280 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:40:49,258 basehttp 63961 140293118281280 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:40:49,260 basehttp 63961 140293136115264 "OPTIONS /api/estados-equipo/ HTTP/1.1" 200 0
INFO 2025-06-23 16:40:49,265 basehttp 63961 140293109888576 "OPTIONS /api/faenas/ HTTP/1.1" 200 0
INFO 2025-06-23 16:40:49,266 basehttp 63961 140293126673984 "GET /api/users/ HTTP/1.1" 200 154
INFO 2025-06-23 16:40:49,281 basehttp 63961 140293126673984 "GET /api/estados-equipo/ HTTP/1.1" 200 312
INFO 2025-06-23 16:40:49,290 basehttp 63961 140293109888576 "GET /api/faenas/ HTTP/1.1" 200 442
INFO 2025-06-23 16:40:49,357 basehttp 63961 140293109888576 "GET /api/equipos/ HTTP/1.1" 200 1279
INFO 2025-06-23 16:51:55,024 autoreload 40064 21748 Watching for file changes with StatReloader
INFO 2025-06-23 16:52:29,320 basehttp 40064 32084 "GET /api/mantenimiento-workflow/equipos-criticos/ HTTP/1.1" 200 91
INFO 2025-06-23 16:52:29,322 basehttp 40064 32084 "GET /api/mantenimiento-workflow/equipos-criticos/ HTTP/1.1" 200 91
INFO 2025-06-23 16:52:29,337 basehttp 40064 9408 "GET /api/mantenimiento-workflow/dashboard/ HTTP/1.1" 200 626
INFO 2025-06-23 16:52:29,340 basehttp 40064 9408 "GET /api/mantenimiento-workflow/dashboard/ HTTP/1.1" 200 626
INFO 2025-06-23 16:52:49,529 basehttp 40064 9408 "GET /api/ordenes-trabajo/?fechaInicio=&fechaFin= HTTP/1.1" 200 52
INFO 2025-06-23 16:52:49,529 basehttp 40064 35172 "GET /api/tipos-equipo/ HTTP/1.1" 200 297
INFO 2025-06-23 16:52:49,534 basehttp 40064 35172 "GET /api/ordenes-trabajo/?fechaInicio=&fechaFin= HTTP/1.1" 200 52
INFO 2025-06-23 16:52:49,536 basehttp 40064 9408 "GET /api/planes-mantenimiento/ HTTP/1.1" 200 315
